text,action,category
The concierge made a rude comment about my appearance. Terrible.,Disciplinary Action,Services
Not happy. No one told us about the construction noise.,Staff Communication Training,Services
"Feedback: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
"Feedback: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
bellboy didn't explain how to use the key card.,Staff Communication Training,Services
WiFi signal is too weak to work in the room. Terrible.,Upgrade Room Amenities,Rooms
Feedback: The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Not happy. They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
"Worst dining experience ever, I expect compensation.",Compensate Guest,Food
Not happy. Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Action needed: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
everything tastes like frozen food reheated.,Revise Menu Quality,Food
Review: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
"Honestly, it took 45 minutes just to check in.",Review Check-in Process,Services
Action needed: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms
They forgot to give us our wake-up call. Terrible.,Staff Communication Training,Services
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services
The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Review: Pool shower wasn't working.,Pool Maintenance,Recreation
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food
the server was rude when i asked for water.,Staff Training (Food),Food
Review: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
The pool water was cloudy and green. Terrible.,Pool Maintenance,Recreation
Action needed: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Feedback: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation
WiFi signal is too weak to work in the room. Terrible.,Upgrade Room Amenities,Rooms
Feedback: The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
"Honestly, the menu options are very limited and boring.",Revise Menu Quality,Food
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services
Not happy. System crashed during check-in.,Review Check-in Process,Services
"Feedback: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
"Honestly, the waiter spilled soup on me and didn't apologize.",Staff Training (Food),Food
Review: Conflicting information from different staff members.,Staff Communication Training,Services
Review: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Not happy. The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
Review: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Not happy. Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Not happy. Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Feedback: System crashed during check-in.,Review Check-in Process,Services
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms
Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Review: I found a hair in my food.,Inspect Kitchen Hygiene,Food
Water looked stagnant and dirty. Terrible.,Pool Maintenance,Recreation
Feedback: Cockroach in the shower.,Pest Control Investigation,Rooms
The dessert was stale and dry.,Revise Menu Quality,Food
Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Not happy. They charged us for items we didn't order.,Compensate Guest,Food
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food
Feedback: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
"Honestly, yoga mats are torn and dirty.",Update Gym Equipment,Recreation
"Honestly, restaurant manager was shouting at the staff.",Staff Training (Food),Food
Review: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
employee was on their phone ignoring guests.,Disciplinary Action,Services
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation
Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Restaurant manager was shouting at the staff. Terrible.,Staff Training (Food),Food
No one told us about the construction noise. Terrible.,Staff Communication Training,Services
"Not happy. Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Not happy. Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
"Honestly, no one came to clear our table for 30 minutes.",Staff Training (Food),Food
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation
Not happy. Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Bellboy didn't explain how to use the key card. Terrible.,Staff Communication Training,Services
restaurant manager was shouting at the staff.,Staff Training (Food),Food
Review: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Review: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
Not happy. Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food
Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Review: Staff seemed confused by the check-in software.,Review Check-in Process,Services
Not happy. Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Feedback: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Not happy. There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Review: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Review: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
"Honestly, the food tasted slightly spoiled and smelled bad.",Inspect Kitchen Hygiene,Food
Review: They couldn't find my booking in the system.,Review Check-in Process,Services
the bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Not happy. Gym is too small for the number of guests.,Update Gym Equipment,Recreation
"Honestly, they couldn't find my booking in the system.",Review Check-in Process,Services
There was a strange object in the soup. Terrible.,Inspect Kitchen Hygiene,Food
the pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
"Review: Key cards didn't work, had to go back down.",Review Check-in Process,Services
"Honestly, gym equipment is ancient and rusty.",Update Gym Equipment,Recreation
Everything tastes like frozen food reheated. Terrible.,Revise Menu Quality,Food
No water or towels available in the gym.,Update Gym Equipment,Recreation
Bed bugs bit me all over my legs. Terrible.,Pest Control Investigation,Rooms
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services
Not happy. Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Not happy. Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Action needed: Treadmills were all out of order.,Update Gym Equipment,Recreation
The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Air conditioner is loud and barely cools the room. Terrible.,Upgrade Room Amenities,Rooms
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services
Priority check-in for members was not honored.,Review Check-in Process,Services
Concierge was unable to give simple directions. Terrible.,Staff Communication Training,Services
Action needed: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
Feedback: The coffee was burnt and bitter.,Revise Menu Quality,Food
treadmills were all out of order.,Update Gym Equipment,Recreation
concierge was unable to give simple directions.,Staff Communication Training,Services
They couldn't find my booking in the system.,Review Check-in Process,Services
They refused to accept my voucher.,Compensate Guest,Food
Not happy. No supervision in the children's play area.,Recreation Staff Review,Recreation
Action needed: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
They lost our reservation even though we booked weeks ago. Terrible.,Compensate Guest,Food
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
